Id,Category
0,0
1,1
2,1
3,1
4,0
5,1
6,1
7,0
8,1
9,1
10,1
11,1
12,0
13,1
14,1
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,0
24,1
25,1
26,1
27,0
28,1
29,0
30,1
31,1
32,1
33,0
34,1
35,1
36,0
37,0
38,1
39,0
40,0
41,0
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,0
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,0
99,0
100,0
101,0
102,1
103,0
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,1
135,1
136,0
137,1
138,0
139,0
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,0
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,0
160,1
161,0
162,0
163,1
164,1
165,1
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,1
174,1
175,0
176,0
177,0
178,1
179,0
180,1
181,0
182,1
183,1
184,1
185,0
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,1
194,0
195,1
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,1
204,0
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,1
237,0
238,0
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,0
253,1
254,0
255,0
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,1
273,1
274,0
275,1
276,0
277,1
278,0
279,1
280,1
281,0
282,0
283,1
284,1
285,1
286,1
287,1
288,0
289,0
290,0
291,1
292,0
293,1
294,1
295,1
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,0
304,0
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,1
313,0
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,0
326,0
327,1
328,1
329,1
330,1
331,0
332,0
333,0
334,1
335,0
336,1
337,1
338,0
339,1
340,1
341,1
342,0
343,1
344,1
345,0
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,1
357,0
358,1
359,1
360,1
361,0
362,0
363,1
364,0
365,1
366,1
367,0
368,0
369,0
370,0
371,1
372,1
373,0
374,1
375,1
376,0
377,1
378,0
379,1
380,0
381,0
382,1
383,1
384,1
385,0
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,0
397,1
398,0
399,1
400,0
401,1
402,1
403,0
404,1
405,1
406,1
407,0
408,0
409,0
410,1
411,1
412,0
413,0
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,0
422,1
423,1
424,1
425,0
426,0
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,0
435,0
436,0
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,0
445,1
446,0
447,1
448,1
449,0
450,1
451,0
452,1
453,1
454,0
455,0
456,1
457,0
458,0
459,1
460,0
461,1
462,1
463,1
464,0
465,1
466,1
467,1
468,1
469,1
470,0
471,1
472,1
473,0
474,0
475,0
476,1
477,1
478,1
479,0
480,1
481,1
482,1
483,0
484,1
485,1
486,0
487,1
488,0
489,1
490,1
491,1
492,0
493,1
494,0
495,1
496,1
497,1
498,0
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,0
508,1
509,0
510,1
511,0
512,1
513,1
514,0
515,0
516,1
517,0
518,1
519,1
520,0
521,0
522,0
523,1
524,1
525,1
526,1
527,1
528,1
529,0
530,0
531,1
532,0
533,1
534,0
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,0
543,1
544,0
545,0
546,1
547,1
548,1
549,1
550,0
551,1
552,1
553,0
554,1
555,0
556,1
557,0
558,1
559,1
560,1
561,0
562,1
563,0
564,1
565,0
566,1
567,1
568,0
569,1
570,0
571,1
572,0
573,1
574,0
575,1
576,0
577,1
578,1
579,0
580,0
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,0
591,1
592,1
593,0
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,0
605,1
606,1
607,1
608,0
609,1
610,1
611,1
612,1
613,1
614,0
615,1
616,1
617,0
618,0
619,1
620,1
621,1
622,1
623,1
624,1
625,0
626,1
627,0
628,0
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,0
639,1
640,0
641,1
642,1
643,0
644,0
645,1
646,1
647,1
648,0
649,1
650,1
651,0
652,0
653,1
654,0
655,1
656,1
657,1
658,0
659,0
660,1
661,0
662,1
663,1
664,0
665,1
666,1
667,1
668,0
669,1
670,1
671,0
672,0
673,1
674,1
675,1
676,0
677,1
678,1
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,1
687,0
688,0
689,1
690,1
691,1
692,0
693,0
694,1
695,0
696,1
697,0
698,1
699,1
700,1
701,1
702,0
703,1
704,1
705,0
706,0
707,1
708,1
709,1
710,1
711,1
712,1
713,0
714,1
715,1
716,1
717,0
718,1
719,1
720,1
721,0
722,1
723,1
724,1
725,0
726,1
727,1
728,0
729,1
730,1
731,1
732,1
733,1
734,0
735,1
736,1
737,1
738,0
739,1
740,1
741,1
742,1
743,0
744,1
745,0
746,1
747,1
748,0
749,1
750,1
751,0
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,0
760,1
761,1
762,1
763,0
764,0
765,1
766,1
767,0
768,0
769,1
770,0
771,0
772,0
773,1
774,1
775,0
776,1
777,1
778,1
779,0
780,0
781,1
782,0
783,0
784,1
785,1
786,0
787,1
788,0
789,0
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,0
798,0
799,0
800,1
801,0
802,1
803,1
804,1
805,1
806,1
807,1
808,0
809,1
810,0
811,0
812,1
813,0
814,0
815,1
816,1
817,0
818,0
819,0
820,1
821,1
822,0
823,0
824,1
825,0
826,0
827,1
828,1
829,1
830,1
831,1
832,1
833,0
834,0
835,1
836,0
837,0
838,1
839,1
840,1
841,1
842,0
843,0
844,1
845,0
846,1
847,1
848,1
849,0
850,1
851,0
852,1
853,1
854,1
855,1
856,0
857,0
858,0
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,0
869,1
870,0
871,1
872,1
873,1
874,0
875,1
876,0
877,0
878,0
879,1
880,1
881,0
882,1
883,1
884,0
885,1
886,0
887,1
888,0
889,0
890,1
891,0
892,1
893,1
894,1
895,0
896,0
897,0
898,0
899,1
900,0
901,1
902,1
903,1
904,1
905,0
906,1
907,1
908,1
909,0
910,0
911,1
912,0
913,0
914,0
915,1
916,1
917,1
918,1
919,0
920,0
921,1
922,0
923,1
924,0
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,0
939,1
940,1
941,0
942,1
943,0
944,1
945,1
946,1
947,0
948,1
949,1
950,1
951,0
952,0
953,0
954,1
955,1
956,0
957,0
958,1
959,1
960,1
961,0
962,1
963,1
964,1
965,0
966,1
967,0
968,0
969,1
970,1
971,1
972,0
973,1
974,1
975,1
976,1
977,1
978,1
979,0
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,0
991,0
992,1
993,0
994,0
995,1
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,0
1006,0
1007,1
1008,1
1009,0
1010,0
1011,1
1012,1
1013,1
1014,1
1015,1
1016,0
1017,0
1018,1
1019,1
1020,1
1021,1
1022,1
1023,0
1024,0
1025,1
1026,1
1027,0
1028,1
1029,0
1030,1
1031,0
1032,1
1033,1
1034,0
1035,0
1036,1
1037,1
1038,1
1039,1
1040,1
1041,0
1042,1
1043,0
1044,0
1045,0
1046,0
1047,1
1048,0
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,0
1056,1
1057,0
1058,1
1059,0
1060,1
